Month Year IPv4 IPv6
01 2014 12.928571428571429 8.285714285714286
02 2014 12.714285714285714 8.285714285714286
03 2014 11.733333333333333 7.666666666666667
04 2014 12.4 8.0
05 2014 12.733333333333333 8.066666666666666
06 2014 12.1875 7.5625
07 2014 12.75 8.0
08 2014 12.875 8.0
09 2014 13.3125 8.4375
10 2014 13.0625 8.375
11 2014 13.0625 8.4375
12 2014 9.0 6.6875
01 2015 13.0 8.3125
02 2015 12.625 8.375
03 2015 12.9375 8.5625
04 2015 12.411764705882353 8.176470588235293
05 2015 12.823529411764707 8.352941176470589
06 2015 12.647058823529411 8.411764705882353
07 2015 12.764705882352942 8.352941176470589
08 2015 12.823529411764707 8.352941176470589
09 2015 11.764705882352942 7.882352941176471
10 2015 11.470588235294118 7.705882352941177
11 2015 12.764705882352942 8.352941176470589
12 2015 9.235294117647058 7.235294117647059
01 2016 13.588235294117647 9.0
02 2016 14.470588235294118 9.882352941176471
03 2016 14.588235294117647 9.941176470588236
04 2016 15.0 10.823529411764707
05 2016 14.941176470588236 10.941176470588236
06 2016 14.0 10.333333333333334
07 2016 14.166666666666666 10.61111111111111
08 2016 14.222222222222221 10.38888888888889
09 2016 14.823529411764707 10.941176470588236
10 2016 13.944444444444445 10.277777777777779
11 2016 14.777777777777779 10.777777777777779
12 2016 12.666666666666666 10.944444444444445
01 2017 14.666666666666666 10.666666666666666
02 2017 14.444444444444445 10.555555555555555
03 2017 14.722222222222221 10.5
04 2017 14.222222222222221 9.944444444444445
05 2017 14.666666666666666 10.222222222222221
06 2017 14.88888888888889 10.333333333333334
07 2017 14.833333333333334 10.555555555555555
08 2017 14.944444444444445 10.5
09 2017 14.722222222222221 10.5
10 2017 14.666666666666666 10.444444444444445
11 2017 15.055555555555555 10.5
12 2017 13.166666666666666 11.055555555555555
01 2018 13.55 9.55
02 2018 13.428571428571429 9.380952380952381
03 2018 13.8 9.8
04 2018 12.636363636363637 8.363636363636363
05 2018 13.045454545454545 8.318181818181818
06 2018 11.954545454545455 7.590909090909091
07 2018 13.0 8.478260869565217
08 2018 13.26086956521739 8.695652173913043
09 2018 13.173913043478262 8.73913043478261
10 2018 13.565217391304348 9.043478260869565
11 2018 12.652173913043478 9.0
12 2018 12.125 9.625
01 2019 13.333333333333334 9.375
02 2019 13.125 9.291666666666666
03 2019 12.041666666666666 8.708333333333334
04 2019 13.958333333333334 9.958333333333334
05 2019 12.222222222222221 8.62962962962963
06 2019 11.925925925925926 8.444444444444445
07 2019 12.88888888888889 9.333333333333334
08 2019 12.03448275862069 8.827586206896552
09 2019 12.035714285714286 8.964285714285714
10 2019 11.678571428571429 8.75
11 2019 12.214285714285714 9.142857142857142
12 2019 10.464285714285714 8.714285714285714
01 2020 12.571428571428571 8.321428571428571
02 2020 12.607142857142858 9.214285714285714
03 2020 12.678571428571429 9.678571428571429
04 2020 13.035714285714286 9.821428571428571
05 2020 13.071428571428571 9.857142857142858
06 2020 13.0 10.142857142857142
07 2020 13.25 10.285714285714286
08 2020 13.571428571428571 10.607142857142858
09 2020 13.892857142857142 11.071428571428571
10 2020 14.071428571428571 11.178571428571429
11 2020 14.428571428571429 11.357142857142858
12 2020 12.714285714285714 10.857142857142858
01 2021 14.964285714285714 11.678571428571429
02 2021 15.962962962962964 12.62962962962963
03 2021 14.89655172413793 11.931034482758621
04 2021 14.533333333333333 11.666666666666666
05 2021 14.833333333333334 11.633333333333333
06 2021 13.71875 10.9375
07 2021 13.375 10.71875
08 2021 13.212121212121213 10.818181818181818
09 2021 13.058823529411764 11.088235294117647
10 2021 13.764705882352942 11.323529411764707
11 2021 13.6 11.142857142857142
12 2021 13.542857142857143 11.685714285714285
01 2022 13.4 11.142857142857142
02 2022 13.914285714285715 10.542857142857143
03 2022 12.714285714285714 10.628571428571428
04 2022 13.857142857142858 11.485714285714286
05 2022 14.029411764705882 11.705882352941176
06 2022 13.588235294117647 11.323529411764707
07 2022 12.147058823529411 10.029411764705882
08 2022 14.0 11.470588235294118
09 2022 14.735294117647058 12.235294117647058
10 2022 15.029411764705882 12.5
11 2022 15.6875 12.625
12 2022 15.78125 14.09375
01 2023 15.84375 13.25
02 2023 15.5 13.28125
03 2023 15.935483870967742 13.709677419354838
04 2023 15.696969696969697 13.242424242424242
05 2023 15.93939393939394 13.515151515151516
06 2023 15.647058823529411 13.382352941176471
07 2023 16.235294117647058 13.735294117647058
08 2023 16.5 13.970588235294118
09 2023 16.057142857142857 13.514285714285714
10 2023 16.228571428571428 13.771428571428572
11 2023 16.457142857142856 13.885714285714286
12 2023 14.571428571428571 12.857142857142858
01 2024 16.771428571428572 14.0
02 2024 14.513513513513514 12.0
03 2024 15.81081081081081 13.35135135135135
04 2024 15.368421052631579 12.973684210526315
05 2024 15.564102564102564 13.384615384615385
06 2024 16.897435897435898 14.846153846153847
07 2024 17.175 15.125
08 2024 17.4390243902439 15.341463414634147
09 2024 17.536585365853657 15.560975609756097
10 2024 18.78048780487805 16.414634146341463
11 2024 18.452380952380953 15.571428571428571
12 2024 17.048780487804876 15.585365853658537
